KT,YT,TAZE HAVA ORANI,concat,TAZE HAVA,DÖNÜ? HAVASI,DÖNÜ? HAVASI ENTHALPY,KT,YT,Tmix Enthalpy,ÜFLEME ENTHALPY 15 C,Enthalpy Fark?,13,14,15,16,17,18,19,20,21,22,23,24
39,22,25,39222555.69,2500,7500,55.69,27,,57.72,44.78,3.09,,,,,,,,,,,,
39,22,30,39223055.69,3000,7000,55.69,27,50%,58.12,44.78,3.19,,,,,,,,,,,,
39,22,35,39223555.69,3500,6500,55.69,27,,58.53,44.78,3.28,,,,,,,,,,,,
39,22,40,39224055.69,4000,6000,55.69,27,50%,58.94,44.78,3.38,,,,,,,,,,,,
39,22,45,39224555.69,4500,5500,55.69,27,,59.36,44.78,3.48,,,,,,,,,,,,
39,22,50,39225055.69,5000,5000,55.69,27,50%,59.77,44.78,3.58,,,,,,,,,,,,
39,22,55,39225555.69,5500,4500,55.69,27,,60.19,44.78,3.68,,,,,,,,,,,,
39,22,60,39226055.69,6000,4000,55.69,27,50%,60.60,44.78,3.78,,,,,,,,,,,,
39,22,65,39226555.69,6500,3500,55.69,27,,61.02,44.78,3.88,,,,,,,,,,,,
39,22,70,39227055.69,7000,3000,55.69,27,50%,61.44,44.78,3.98,,,,,,,,,,,,
39,22,75,39227555.69,7500,2500,55.69,27,,61.86,44.78,4.08,,,,,,,,,,,,
39,22,80,39228055.69,8000,2000,55.69,27,50%,62.28,44.78,4.18,,,,,,,,,,,,
39,22,85,39228555.69,8500,1500,55.69,27,,62.71,44.78,4.28,,,,,,,,,,,,
39,22,90,39229055.69,9000,1000,55.69,27,50%,63.14,44.78,4.39,,,,,,,,,,,,
39,22,95,39229555.69,9500,500,55.69,27,,63.57,44.78,4.49,,,,,,,,,,,,
39,22,100,392210055.69,10000,0,55.69,27,50%,63.99,44.78,4.59,,,,,,,,,,,,
,,,55.69,,,55.69,27,,0.00,44.78,-10.70,,,,,,,,,,,,
39,21,0,3921055.69,0,10000,55.69,27,50%,55.69,44.78,2.61,,,,,,,,,,,,
39,21,5,3921555.69,500,9500,55.69,27,,55.92,44.78,2.66,,,,,,,,,,,,
39,21,10,39211055.69,1000,9000,55.69,27,50%,56.15,44.78,2.72,,,,,,,,,,,,
39,21,15,39211555.69,1500,8500,55.69,27,,56.38,44.78,2.77,,,,,,,,,,,,
